"%Acm. Venda","Código Produto","Produto : Empresa","Código Empresa","Embalagem Unitária","Itens (SKU)","Quantidade em Estoque","Quantidade Reservada","Quantidade Disponível","Valor Preço de Venda","%Partic. Pr.Vda","Preço Vda Unitário","Valor Custo Líquido","%Partic. Cto Liq.","Custo Liq. Unitário","Cto. Liq Unitário (Líquido de ICMS)","Cto. Liq Unitário (Líquido de ICMS) Total","Lucrat. Marg %","Lucratividade Unit.","Lucratividade Valor","%Partic. Lucrat.","% Mark Up","% Mark Down","Valor Custo Bruto","% Partic. Cto Bruto","Cto Bruto Unitário","Contribuição Valor","% Partic. Contrib.","Contrib. Marg %","Qtd. Pend. Ped.Compra","Qtd. Pend. Ped.Exped.","Média Vda/Dia","Dias de Estoque","Dias Ult. Entrada","Dias Ult. Entrada c/ Alt. Custo","Peso Bruto","%Partic. Peso Brt","Peso Líquido","Despesa Venda","Compror","Descontos Diversos","Descontos Transf. PIS","Descontos Transf. COFINS","Descontos Transf. IPI","Descontos Transf. Lucro","Descontos Transf. Verba","Descontos Transf. Diferença","Descontos Transferências","Descontos Totais","Comissão s/ Venda","Tot.Impostos s/ Venda","ICMS s/ Venda","PIS s/ Venda","COFINS s/ Venda","Outros Impostos","Código Acesso","Estq Emp","Custo Fiscal Unit.","Custo Fiscal Total","Despesa Fixa Unit.","Desconto Fixo Unit.","Despesa Fixa","Desconto Fixo","Descontos Transf. Rest.ICMS/ST","Quantidade Estoque Mínimo","Quantidade  Estoque Máximo","Quantidade  Dias Sem Vendas"
"18,53","141","BEB.VINHO CHI.CASIL.D.DIABLO 750ML CARMENERE : 501-MM SP","501","GA 1","1","9.336,000","0,000","9.336,000","295.951,20","0,62","31,70","247.786,90","0,60","26,5410","25,0900","234.252,56","0,77","0,25","2.291,87","-0,21","19,44","16,27","247.786,90","0,60","26,5410","40.765,52","0,72","13,77","0,000","0,000","168,717","55,34","20,0","57,0","12.118,128","0,37","12.118,128","38.473,66","0,00","362,43","0,00","0,00","0,00","0,00","0,00","0,00","0,00","362,43","7.398,78","0,00","73.987,80","4.883,19","22.492,29","0,00","7804320087016","9.336,000","24,17","225.629,44","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","1"
"18,80","145","BEB.VINHO CHI.CASIL.D.DIABLO 750ML CHARD. : 501-MM SP","501","GA 1","1","3.981,000","0,000","3.981,000","126.197,70","0,27","31,70","105.659,77","0,26","26,5410","25,0900","99.888,54","0,77","0,25","977,28","-0,09","19,44","16,27","105.659,77","0,26","26,5410","17.382,98","0,31","13,77","0,000","0,000","66,400","59,95","24,0","57,0","5.167,338","0,16","5.167,338","16.405,70","0,00","154,55","0,00","0,00","0,00","0,00","0,00","0,00","0,00","154,55","3.154,94","0,00","31.549,43","2.082,26","9.591,03","0,00","7804320256900","3.981,000","24,15","96.125,86","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","1"
"19,26","25079","BEB.VINHO CHI.CASIL.D.DIABLO 750ML MALB. : 501-MM SP","501","GA 1","1","6.948,000","0,000","6.948,000","220.251,60","0,46","31,70","184.406,96","0,45","26,5410","25,0900","174.334,49","0,77","0,25","1.705,64","-0,15","19,44","16,27","184.406,96","0,45","26,5410","30.338,35","0,54","13,77","0,000","0,000","150,917","46,04","55,0","57,0","9.018,504","0,27","9.018,504","28.632,71","0,00","269,73","0,00","0,00","0,00","0,00","0,00","0,00","0,00","269,73","5.506,29","0,00","55.062,90","3.634,15","16.739,12","0,00","7804320510187","6.948,000","24,09","167.377,62","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","1"
"19,74","142","BEB.VINHO CHI.CASIL.D.DIABLO 750ML MERL. : 501-MM SP","501","GA 1","1","7.191,000","0,000","7.191,000","227.954,70","0,48","31,70","190.856,42","0,47","26,5410","25,0900","180.431,68","0,77","0,25","1.765,30","-0,16","19,44","16,27","190.856,42","0,47","26,5410","31.399,41","0,55","13,77","0,000","0,000","148,367","48,47","28,0","57,0","9.333,918","0,28","9.333,918","29.634,11","0,00","279,16","0,00","0,00","0,00","0,00","0,00","0,00","0,00","279,16","5.698,87","0,00","56.988,68","3.761,25","17.324,56","0,00","7804320985633","7.191,000","24,12","173.463,19","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","1"
"20,07","115330","BEB.VINHO CHI.CASIL.D.DIABLO 750ML RED BLEND : 501-MM SP","501","GA 1","1","4.914,000","0,000","4.914,000","155.773,80","0,33","31,70","130.422,54","0,32","26,5410","25,0900","123.298,75","0,77","0,25","1.206,32","-0,11","19,44","16,27","130.422,54","0,32","26,5410","21.456,92","0,38","13,77","0,000","0,000","103,417","47,52","10,0","57,0","6.378,372","0,19","6.378,372","20.250,59","0,00","190,77","0,00","0,00","0,00","0,00","0,00","0,00","0,00","190,77","3.894,35","0,00","38.943,45","2.570,27","11.838,81","0,00","7804320746555","4.914,000","24,00","117.943,02","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","1"
"20,57","25475","BEB.VINHO CHI.CASIL.D.DIABLO 750ML ROSE : 501-MM SP","501","GA 1","1","7.487,000","0,000","7.487,000","237.337,90","0,50","31,70","198.712,56","0,48","26,5410","25,0900","187.858,71","0,77","0,25","1.837,96","-0,17","19,44","16,27","198.712,56","0,48","26,5410","32.691,89","0,58","13,77","0,000","0,000","71,400","104,86","29,0","29,0","9.718,126","0,29","9.718,126","30.853,93","0,00","290,65","0,00","0,00","0,00","0,00","0,00","0,00","0,00","290,65","5.933,45","0,00","59.334,48","3.916,08","18.037,68","0,00","7804320131344","7.487,000","24,78","185.560,86","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","1"
"21,03","146","BEB.VINHO CHI.CASIL.D.DIABLO 750ML SAUV.BL : 501-MM SP","501","GA 1","1","6.916,000","0,000","6.916,000","219.237,20","0,46","31,70","183.557,65","0,45","26,5410","25,0900","173.531,57","0,77","0,25","1.697,79","-0,15","19,44","16,27","183.557,65","0,45","26,5410","30.198,62","0,53","13,77","0,000","0,000","95,433","72,47","55,0","57,0","8.976,968","0,27","8.976,968","28.500,84","0,00","268,49","0,00","0,00","0,00","0,00","0,00","0,00","0,00","268,49","5.480,93","0,00","54.809,30","3.617,41","16.662,03","0,00","7804320301174","6.916,000","24,07","166.480,68","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","1"
"21,05","101706","BEB.VINHO CHI.CASIL.D.DIABLO 750ML. PRIVADA : 501-MM SP","501","GA 1","1","188,000","0,000","188,000","11.088,24","0,02","58,98","8.730,19","0,02","46,4372","44,6100","8.387,41","5,77","3,40","639,38","-0,06","27,01","21,27","8.730,19","0,02","46,4372","2.080,85","0,04","18,77","0,000","0,000","3,233","58,15","49,0","57,0","271,472","0,01","271,472","1.441,47","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","277,21","0,00","2.772,06","182,96","842,71","0,00","7804320272252","188,000","42,07","7.909,78","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","14"
"21,05","115908","BEB.VINHO CHI.CASIL.D.DIABLO 750ML. PRIVADA CARMEN : 501-MM SP","501","GA 1","1","1,000","0,000","1,000","58,98","0,00","58,98","46,44","0,00","46,4372","44,6100","44,61","5,77","3,40","3,40","0,00","27,01","21,27","46,44","0,00","46,4372","11,07","0,00","18,77","0,000","0,000","7,467","0,13","371,0","371,0","1,444","0,00","1,444","7,67","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1,47","0,00","14,75","0,97","4,48","0,00","7804320626895","1,000","39,11","39,11","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","345"
"21,07","82438","BEB.VINHO CHI.CASIL.D.DIABLO DEVILS 750ML BRANCO : 501-MM SP","501","GA 1","1","176,000","0,000","176,000","9.389,60","0,02","53,35","7.229,62","0,02","41,0774","31,9300","5.619,48","7,50","4,00","704,60","-0,06","29,88","23,00","7.229,62","0,02","41,0774","1.925,24","0,03","20,50","0,000","0,000","0,717","245,47","37,0","640,0","270,688","0,01","270,688","1.220,65","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","234,74","0,00","2.347,40","154,93","713,61","0,00","7804320561585","176,000","32,17","5.662,61","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","14"
"21,08","115332","BEB.VINHO CHI.CASIL.D.DIABLO DEVILS 750ML COLL.ROS : 501-MM SP","501","GA 1","1","46,000","0,000","46,000","2.454,10","0,01","53,35","1.889,56","0,00","41,0774","31,9300","1.468,73","7,50","4,00","184,16","-0,02","29,88","23,00","1.889,56","0,00","41,0774","503,19","0,01","20,50","0,000","0,000","0,783","58,75","70,0","378,0","70,748","0,00","70,748","319,03","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","61,35","0,00","613,53","40,49","186,51","0,00","7804320750590","46,000","28,69","1.319,86","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","78"
"21,19","119064","BEB.VINHO CHI.CASIL.D.DIABLO SAUVIG 750ML BLANC : 501-MM SP","501","GA 1","1","1.206,000","0,000","1.206,000","53.377,56","0,11","44,26","41.099,22","0,10","34,0790","22,9300","27.649,83","9,00","3,98","4.805,48","-0,43","29,87","23,00","41.099,22","0,10","34,0790","11.744,56","0,21","22,00","0,000","0,000","0,800","1.507,50","329,0","785,0","1.506,294","0,05","1.506,294","6.939,08","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","533,78","0,00","13.344,39","880,73","4.056,69","0,00","","1.206,000","22,93","27.649,83","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","23"
"21,19","119058","BEB.VINHO CHI.CASIL.D.DIABLO VALLE 750ML SAUVIGNON : 501-MM SP","501","GA 1","1","6,000","0,000","6,000","265,56","0,00","44,26","204,47","0,00","34,0790","22,9300","137,56","9,00","3,99","23,91","0,00","29,87","23,00","204,47","0,00","34,0790","58,43","0,00","22,00","0,000","0,000","21,600","0,28","160,0","785,0","7,656","0,00","7,656","34,52","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","2,66","0,00","66,39","4,38","20,18","0,00","","6,000","22,93","137,56","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","289"
"21,28","115331","BEB.VINHO CHI.DIABLO BLACK 750ML CAB.SAUV : 501-MM SP","501","GA 1","1","1.090,000","0,000","1.090,000","44.308,50","0,09","40,65","35.886,19","0,09","32,9231","31,6300","34.478,64","3,51","1,43","1.554,49","-0,14","23,47","19,01","35.886,19","0,09","32,9231","7.314,60","0,13","16,51","0,000","0,000","36,633","29,75","55,0","57,0","1.757,080","0,05","1.757,080","5.760,11","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1.107,71","0,00","11.077,13","731,09","3.367,45","0,00","7804320750552","1.090,000","31,30","34.117,75","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","1"
"21,35","111406","BEB.VINHO CHI.DIABLO DARK RED 750ML TT : 501-MM SP","501","GA 1","1","821,000","0,000","821,000","33.595,32","0,07","40,92","27.058,67","0,07","32,9582","31,6700","25.998,48","3,96","1,62","1.329,38","-0,12","24,16","19,46","27.058,67","0,07","32,9582","5.696,77","0,10","16,96","0,000","0,000","72,133","11,38","34,0","56,0","1.313,600","0,04","1.313,600","4.367,39","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","839,88","0,00","8.398,83","554,32","2.553,24","0,00","7804320746104","821,000","31,30","25.698,62","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","1"
"21,35","122377","BEB.VINHO CHI.DIABLO DEEP 750ML CARMENERE : 501-MM SP","501","UN 1","1","6,000","0,000","6,000","300,00","0,00","50,00","195,24","0,00","32,5406","31,2300","187,41","19,42","9,71","58,26","-0,01","53,65","34,92","195,24","0,00","32,5406","97,26","0,00","32,42","0,000","0,000","50,317","0,12","44,0","44,0","9,564","0,00","9,564","39,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","7,50","0,00","75,00","4,95","22,80","0,00","7804320758626","6,000","31,30","187,81","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","1"
"21,35","121190","BEB.VINHO CHI.DIABLO GOLDEN 750ML CHARDONAY : 501-MM SP","501","UN 1","1","6,000","0,000","6,000","291,66","0,00","48,61","208,38","0,00","34,7302","33,3600","200,18","13,05","6,35","38,07","0,00","39,96","28,55","208,38","0,00","34,7302","75,99","0,00","26,05","0,000","0,000","11,667","0,51","57,0","57,0","8,268","0,00","8,268","37,92","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","7,29","0,00","72,92","4,81","22,17","0,00","7804320756509","6,000","31,30","187,81","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","2"
"21,55","105955","BEB.VINHO CHI.DON MELCHOR 750ML TINTO CABER.SA. : 501-MM SP","501","GA 1","1","128,000","0,000","128,000","96.623,36","0,20","754,87","74.465,21","0,18","581,7595","477,5700","61.128,78","6,93","52,33","6.698,41","-0,61","29,76","22,93","74.465,21","0,18","581,7595","19.259,45","0,34","19,93","0,000","0,000","0,483","265,01","13,0","370,0","289,280","0,01","289,280","12.561,04","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","2.898,70","0,00","24.155,84","1.594,29","7.343,38","0,00","7804320413143","128,000","477,57","61.128,78","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","17"
"21,56","121192","BEB.VINHO CHI.EPU ASSEMBLAGE 750ML TT SAFRA 2017 : 501-MM SP","501","UN 1","1","10,000","0,000","10,000","4.075,80","0,01","407,58","3.219,85","0,01","321,9852","309,2900","3.092,88","5,00","20,38","203,82","-0,02","26,58","21,00","3.219,85","0,01","321,9852","733,67","0,01","18,00","0,000","0,000","0,000","0,00","203,0","203,0","16,180","0,00","16,180","529,85","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","122,27","0,00","1.018,95","67,25","309,76","0,00","7804607441074","10,000","304,72","3.047,23","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","105"
"21,56","115606","BEB.VINHO CHI.MAIPO 750ML CARMENERE : 501-MM SP","501","UN 1","1","1,000","0,000","1,000","17,29","0,00","17,29","13,32","0,00","13,3155","10,4900","10,49","7,99","1,38","1,38","0,00","29,85","22,99","13,32","0,00","13,3155","3,63","0,00","20,99","0,000","0,000","20,950","0,05","160,0","577,0","1,140","0,00","0,750","2,25","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,35","0,00","4,32","0,29","1,31","0,00","7804320090313","1,000","10,52","10,52","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","559"
"21,56","111405","BEB.VINHO CHI.MARQUES BLACK 750ML C.SAUV/C.FRANC : 501-MM SP","501","GA 1","1","8,000","0,000","8,000","1.604,96","0,00","200,62","1.235,81","0,00","154,4765","134,5200","1.076,12","7,00","14,04","112,35","-0,01","29,87","23,00","1.235,81","0,00","154,4765","321,00","0,01","20,00","0,000","0,000","0,133","60,15","147,0","498,0","12,920","0,00","12,920","208,64","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","48,15","0,00","401,24","26,48","121,98","0,00","7804320746746","8,000","134,52","1.076,12","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","44"
"21,61","115232","BEB.VINHO CHI.MARQUES.750ML. CAB.SAUV. : 501-MM SP","501","GA 1","1","305,000","0,000","305,000","24.363,40","0,05","79,88","19.734,10","0,05","64,7020","62,1400","18.952,15","3,00","2,40","731,15","-0,07","23,46","19,00","19.734,10","0,05","64,7020","3.898,40","0,07","16,00","0,000","0,000","11,333","26,91","27,0","57,0","468,175","0,01","468,175","3.167,24","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","730,90","0,00","6.090,85","402,00","1.851,62","0,00","7804320333175","305,000","58,12","17.727,41","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","17"
"21,61","115233","BEB.VINHO CHI.MARQUES.750ML. CHARDONNAY : 501-MM SP","501","GA 1","1","1,000","0,000","1,000","79,88","0,00","79,88","64,70","0,00","64,7020","62,1400","62,14","3,00","2,40","2,40","0,00","23,46","19,00","64,70","0,00","64,7020","12,78","0,00","16,00","0,000","0,000","2,717","0,37","57,0","57,0","1,535","0,00","1,535","10,38","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","2,40","0,00","19,97","1,32","6,07","0,00","7804320411149","1,000","57,62","57,62","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","30"
"21,61","115236","BEB.VINHO CHI.MARQUES.750ML. MERLOT : 501-MM SP","501","GA 1","1","16,000","0,000","16,000","1.278,08","0,00","79,88","1.035,23","0,00","64,7020","62,1400","994,21","3,00","2,40","38,36","0,00","23,46","19,00","1.035,23","0,00","64,7020","204,51","0,00","16,00","0,000","0,000","2,650","6,04","27,0","57,0","24,560","0,00","24,560","166,15","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","38,34","0,00","319,52","21,09","97,13","0,00","7804320253480","16,000","57,62","921,90","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","2"
"21,61","115234","BEB.VINHO CHI.MARQUES.750ML. PINOT NOIR : 501-MM SP","501","GA 1","1","3,000","0,000","3,000","239,64","0,00","79,88","194,11","0,00","64,7020","62,1400","186,41","3,00","2,40","7,19","0,00","23,46","19,00","194,11","0,00","64,7020","38,34","0,00","16,00","0,000","0,000","1,100","2,73","219,0","219,0","4,605","0,00","4,605","31,15","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","7,19","0,00","59,91","3,95","18,21","0,00","7804320483559","3,000","67,08","201,23","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","97"
"21,63","115235","BEB.VINHO CHI.MARQUES.750ML. ROSE : 501-MM SP","501","GA 1","1","115,000","0,000","115,000","9.186,20","0,02","79,88","7.440,73","0,02","64,7020","62,1400","7.145,89","3,00","2,40","275,68","-0,02","23,46","19,00","7.440,73","0,02","64,7020","1.469,89","0,03","16,00","0,000","0,000","0,867","132,64","231,0","433,0","176,525","0,01","176,525","1.194,21","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","275,59","0,00","2.296,55","151,57","698,15","0,00","7804320746166","115,000","59,43","6.834,69","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","14"
"21,64","105957","BEB.VINHO CHI.TERRUNYO TINTO 750ML CABER.SAUVIGNON : 501-MM SP","501","GA 1","1","29,000","0,000","29,000","4.465,13","0,01","153,97","3.784,64","0,01","130,5048","123,6400","3.585,60","-0,76","-1,17","-33,93","0,00","17,98","15,24","3.784,64","0,01","130,5048","546,54","0,01","12,24","0,000","0,000","0,367","79,02","162,0","289,0","44,718","0,00","44,718","580,47","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","133,95","0,00","1.116,28","73,67","339,35","0,00","7804320032313","29,000","122,82","3.561,92","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","21"
"21,64","105958","BEB.VINHO CHI.TERRUNYO TINTO 750ML CARMENERE : 501-MM SP","501","GA 1","1","3,000","0,000","3,000","461,91","0,00","153,97","391,51","0,00","130,5048","123,6400","370,92","-0,76","-1,17","-3,51","0,00","17,98","15,24","391,51","0,00","130,5048","56,54","0,00","12,24","0,000","0,000","0,600","5,00","159,0","289,0","4,626","0,00","4,626","60,05","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","13,86","0,00","115,48","7,62","35,11","0,00","7804320032290","3,000","123,48","370,44","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","86"
"21,65","16289","BEB.VINHO COUNTRY WINE 750ML BCO. SC. : 501-MM SP","501","GA 1","1","378,000","0,000","378,000","3.991,68","0,01","10,56","3.427,21","0,01","9,0667","7,4500","2.814,46","-1,86","-0,20","-74,20","0,01","16,47","14,14","3.427,21","0,01","9,0667","484,63","0,01","12,14","0,000","0,000","24,500","15,43","28,0","51,0","434,700","0,01","434,700","558,84","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","79,83","0,00","997,92","65,86","303,37","0,00","7891141016615","378,000","6,90","2.609,38","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","20"
"21,66","16290","BEB.VINHO COUNTRY WINE 750ML BCO.SV. : 501-MM SP","501","GA 1","1","390,000","0,000","390,000","4.118,40","0,01","10,56","3.536,01","0,01","9,0667","7,4500","2.903,81","-1,86","-0,20","-76,56","0,01","16,47","14,14","3.536,01","0,01","9,0667","500,02","0,01","12,14","0,000","0,000","20,000","19,50","6,0","6,0","448,500","0,01","448,500","576,58","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","82,37","0,00","1.029,60","67,95","313,00","0,00","7891141012044","390,000","6,89","2.686,07","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","1"
"21,68","102880","BEB.VINHO COUNTRY WINE 750ML BORDO SECO : 501-MM SP","501","GA 1","1","588,000","0,000","588,000","7.791,00","0,02","13,25","6.230,70","0,02","10,5964","8,6900","5.108,21","4,03","0,53","313,74","-0,03","25,04","20,03","6.230,70","0,02","10,5964","1.404,48","0,02","18,03","0,000","0,000","2,200","267,27","216,0","216,0","747,936","0,02","747,936","1.090,74","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","155,82","0,00","1.947,75","128,55","592,12","0,00","7891141030574","588,000","8,43","4.955,47","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","14"
"21,69","94262","BEB.VINHO COUNTRY WINE 750ML BORDO SUAVE : 501-MM SP","501","GA 1","1","192,000","0,000","192,000","2.544,00","0,01","13,25","2.034,51","0,00","10,5964","8,6900","1.667,99","4,03","0,53","102,45","-0,01","25,04","20,03","2.034,51","0,00","10,5964","458,61","0,01","18,03","0,000","0,000","8,900","21,57","6,0","6,0","244,224","0,01","244,224","356,16","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","50,88","0,00","636,00","41,98","193,34","0,00","7891141029493","192,000","8,55","1.641,63","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","14"
"21,70","16288","BEB.VINHO COUNTRY WINE 750ML TT.SC. : 501-MM SP","501","GA 1","1","282,000","0,000","282,000","2.977,92","0,01","10,56","2.556,81","0,01","9,0667","7,4500","2.099,68","-1,86","-0,20","-55,36","0,01","16,47","14,14","2.556,81","0,01","9,0667","361,55","0,01","12,14","0,000","0,000","28,200","10,00","6,0","6,0","324,300","0,01","324,300","416,91","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","59,56","0,00","744,48","49,14","226,32","0,00","7891141016882","282,000","6,88","1.939,68","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","1"
"21,71","17569","BEB.VINHO M.JAMES 750ML CAB.SAUV TT. : 501-MM SP","501","GA 1","1","396,000","0,000","396,000","6.288,48","0,01","15,88","5.397,53","0,01","13,6301","11,2000","4.434,64","-1,83","-0,29","-115,20","0,01","16,51","14,17","5.397,53","0,01","13,6301","765,19","0,01","12,17","0,000","0,000","38,467","10,29","24,0","24,0","508,860","0,02","508,860","880,39","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","125,77","0,00","1.572,12","103,76","477,92","0,00","7891141015830","396,000","10,76","4.262,46","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","1"
"21,71","17615","BEB.VINHO M.JAMES 750ML CHARDONNAY : 501-MM SP","501","GA 1","1","136,000","0,000","136,000","2.159,68","0,00","15,88","1.853,70","0,00","13,6301","11,2000","1.523,01","-1,83","-0,29","-39,56","0,00","16,51","14,17","1.853,70","0,00","13,6301","262,79","0,00","12,17","0,000","0,000","13,250","10,26","24,0","24,0","174,760","0,01","174,760","302,36","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","43,19","0,00","539,92","35,63","164,14","0,00","7891141015854","136,000","10,80","1.468,68","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","2"
"21,73","17620","BEB.VINHO M.JAMES 750ML MERL.TT. : 501-MM SP","501","GA 1","1","530,000","0,000","530,000","8.416,40","0,02","15,88","7.223,96","0,02","13,6301","11,2000","5.935,24","-1,83","-0,29","-154,18","0,01","16,51","14,17","7.223,96","0,02","13,6301","1.024,11","0,02","12,17","0,000","0,000","20,650","25,67","84,0","84,0","681,050","0,02","681,050","1.178,30","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","168,33","0,00","2.104,10","138,87","639,65","0,00","7891141021374","530,000","10,94","5.797,59","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","1"
"21,74","17571","BEB.VINHO M.JAMES 750ML RIESLING : 501-MM SP","501","GA 1","1","307,000","0,000","307,000","4.875,16","0,01","15,88","4.184,44","0,01","13,6301","11,2000","3.437,96","-1,83","-0,29","-89,31","0,01","16,51","14,17","4.184,44","0,01","13,6301","593,21","0,01","12,17","0,000","0,000","6,033","50,89","51,0","51,0","394,495","0,01","394,495","682,52","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","97,50","0,00","1.218,79","80,44","370,51","0,00","7891141010514","307,000","10,80","3.314,81","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","1"
"21,75","120115","BEB.VINHO M.JAMES 750ML ROSE : 501-MM SP","501","GA 1","1","256,000","0,000","256,000","4.065,28","0,01","15,88","3.489,31","0,01","13,6301","11,2000","2.866,84","-1,83","-0,29","-74,47","0,01","16,51","14,17","3.489,31","0,01","13,6301","494,67","0,01","12,17","0,000","0,000","6,433","39,79","51,0","51,0","328,960","0,01","328,960","569,14","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","81,31","0,00","1.016,32","67,08","308,96","0,00","7891141034510","256,000","10,61","2.715,53","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","14"
"21,77","17622","BEB.VINHO M.JAMES 750ML TANNAT : 501-MM SP","501","GA 1","1","654,000","0,000","654,000","10.385,52","0,02","15,88","8.914,09","0,02","13,6301","11,2000","7.323,87","-1,83","-0,29","-190,26","0,02","16,51","14,17","8.914,09","0,02","13,6301","1.263,72","0,02","12,17","0,000","0,000","16,433","39,80","24,0","24,0","840,390","0,03","840,390","1.453,97","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","207,71","0,00","2.596,38","171,36","789,30","0,00","7891141018572","654,000","10,78","7.048,83","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","1"
"21,78","120029","BEB.VINHO MARQUES CASA CONCHA HERITAGE : 501-MM SP","501","UN 1","1","23,000","0,000","23,000","5.556,80","0,01","241,60","4.278,80","0,01","186,0348","163,8700","3.768,93","7,00","16,91","388,91","-0,04","29,87","23,00","4.278,80","0,01","186,0348","1.111,29","0,02","20,00","0,000","0,000","0,150","153,33","77,0","433,0","50,646","0,00","50,646","722,38","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","166,70","0,00","1.389,20","91,69","422,32","0,00","7804320755632","23,000","163,87","3.768,93","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","34"
