"%Acm. Venda","Código Produto","Produto : Empresa","Código Empresa","Embalagem Unitária","Itens (SKU)","Quantidade em Estoque","Quantidade Reservada","Quantidade Disponível","Valor Preço de Venda","%Partic. Pr.Vda","Preço Vda Unitário","Valor Custo Líquido","%Partic. Cto Liq.","Custo Liq. Unitário","Cto. Liq Unitário (Líquido de ICMS)","Cto. Liq Unitário (Líquido de ICMS) Total","Lucrat. Marg %","Lucratividade Unit.","Lucratividade Valor","%Partic. Lucrat.","% Mark Up","% Mark Down","Valor Custo Bruto","% Partic. Cto Bruto","Cto Bruto Unitário","Contribuição Valor","% Partic. Contrib.","Contrib. Marg %","Qtd. Pend. Ped.Compra","Qtd. Pend. Ped.Exped.","Média Vda/Dia","Dias de Estoque","Dias Ult. Entrada","Dias Ult. Entrada c/ Alt. Custo","Peso Bruto","%Partic. Peso Brt","Peso Líquido","Despesa Venda","Compror","Descontos Diversos","Descontos Transf. PIS","Descontos Transf. COFINS","Descontos Transf. IPI","Descontos Transf. Lucro","Descontos Transf. Verba","Descontos Transf. Diferença","Descontos Transferências","Descontos Totais","Comissão s/ Venda","Tot.Impostos s/ Venda","ICMS s/ Venda","PIS s/ Venda","COFINS s/ Venda","Outros Impostos","Código Acesso","Estq Emp","Custo Fiscal Unit.","Custo Fiscal Total","Despesa Fixa Unit.","Desconto Fixo Unit.","Despesa Fixa","Desconto Fixo","Descontos Transf. Rest.ICMS/ST","Quantidade Estoque Mínimo","Quantidade  Estoque Máximo","Quantidade  Dias Sem Vendas"
"6,16","113621","ABS PROT DIARIO INTIMUS 40UN L+ P- ANTIBACTERIANA : 501-MM SP","501","UN 1","1","4.517,000","0,000","4.517,000","46.073,40","0,10","10,20","37.048,90","0,09","8,2021","7,6300","34.447,16","4,59","0,47","2.113,49","-0,19","24,36","19,59","37.048,90","0,09","8,2021","8.103,03","0,14","17,59","0,000","0,000","89,867","50,26","1,0","4,0","465,251","0,01","465,251","5.989,54","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","921,47","0,00","0,00","760,21","3.501,58","0,00","7896007550548","4.517,000","7,45","33.644,22","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","1"
"6,22","36616","ABS PROT DIARIO INTIMUS 40UN L+ P- CUIDADO DIARIO : 501-MM SP","501","UN 1","1","2.708,000","0,000","2.708,000","27.621,60","0,06","10,20","22.211,30","0,05","8,2021","7,6300","20.651,52","4,59","0,47","1.267,06","-0,11","24,36","19,59","22.211,30","0,05","8,2021","4.857,87","0,09","17,59","0,000","0,000","84,467","32,06","27,0","27,0","278,924","0,01","278,924","3.590,81","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","552,43","0,00","0,00","455,76","2.099,24","0,00","7896007542482","2.708,000","7,45","20.170,18","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","2"
"6,26","36617","ABS PROT DIARIO INTIMUS 40UN L+ P- FRESCO DIARIO : 501-MM SP","501","UN 1","1","1.841,000","0,000","1.841,000","18.778,20","0,04","10,20","15.100,07","0,04","8,2021","7,6300","14.039,68","4,59","0,47","861,40","-0,08","24,36","19,59","15.100,07","0,04","8,2021","3.302,56","0,06","17,59","0,000","0,000","36,800","50,03","1,0","27,0","189,623","0,01","189,623","2.441,17","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","375,56","0,00","0,00","309,84","1.427,14","0,00","7896007542499","1.841,000","7,45","13.712,44","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","2"
"6,29","120367","ABS PROT DIARIO INTIMUS 40UN L+ P- INDICADOR TROCA : 501-MM SP","501","UN 1","1","1.340,000","0,000","1.340,000","13.668,00","0,03","10,20","10.990,82","0,03","8,2021","7,6300","10.218,99","4,59","0,47","626,98","-0,06","24,36","19,59","10.990,82","0,03","8,2021","2.403,82","0,04","17,59","0,000","0,000","13,800","97,10","105,0","105,0","138,020","0,00","138,020","1.776,84","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","273,36","0,00","0,00","225,52","1.038,77","0,00","7896007552931","1.340,000","8,75","11.726,49","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","17"
"6,30","98529","ABS PROT DIARIO INTIMUS 40UN L+ P- ULTRA FLEXIVEL : 501-MM SP","501","UN 1","1","412,000","0,000","412,000","4.202,40","0,01","10,20","3.379,27","0,01","8,2021","7,6300","3.141,96","4,59","0,47","192,77","-0,02","24,36","19,59","3.379,27","0,01","8,2021","739,09","0,01","17,59","0,000","0,000","32,467","12,69","132,0","132,0","42,436","0,00","42,436","546,31","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","84,05","0,00","0,00","69,34","319,38","0,00","7896007548101","412,000","7,45","3.068,24","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","70"
"6,31","122272","ABS PROT DIARIO INTIMUS 48UN LONGO : 501-MM SP","501","UN 1","1","244,000","0,000","244,000","3.052,44","0,01","12,51","2.441,05","0,01","10,0043","9,3000","2.270,29","4,53","0,57","138,26","-0,01","25,05","20,03","2.441,05","0,01","10,0043","535,08","0,01","17,53","0,000","0,000","14,400","16,94","23,0","23,0","12,444","0,00","12,200","396,82","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","76,31","0,00","0,00","50,37","231,99","0,00","7896007553365","244,000","9,31","2.271,75","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","1"
"6,37","113622","ABS PROT DIARIO INTIMUS 80UN L+ P- ANTIBACTERIANA : 501-MM SP","501","UN 1","1","1.414,000","0,000","1.414,000","27.092,24","0,06","19,16","21.722,46","0,05","15,3624","14,2800","20.197,27","4,82","0,92","1.305,95","-0,12","24,72","19,82","21.722,46","0,05","15,3624","4.827,94","0,09","17,82","0,000","0,000","24,400","57,95","1,0","27,0","301,182","0,01","301,182","3.521,99","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","541,84","0,00","0,00","447,02","2.059,01","0,00","7896007550456","1.414,000","13,98","19.763,27","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","1"
"6,39","99513","ABS PROT DIARIO INTIMUS 80UN L+ P- CUIDADO DIARIO : 501-MM SP","501","UN 1","1","396,000","0,000","396,000","7.587,36","0,02","19,16","6.083,52","0,01","15,3624","14,2800","5.656,38","4,82","0,92","365,74","-0,03","24,72","19,82","6.083,52","0,01","15,3624","1.352,10","0,02","17,82","0,000","0,000","11,400","34,74","1,0","4,0","84,348","0,00","84,348","986,36","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","151,75","0,00","0,00","125,19","576,64","0,00","7896007546039","396,000","13,98","5.534,83","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","22"
"6,40","120368","ABS PROT DIARIO INTIMUS 80UN L+ P- INDICADOR TROCA : 501-MM SP","501","UN 1","1","257,996","0,000","257,996","4.943,20","0,01","19,16","3.963,44","0,01","15,3624","14,2800","3.685,16","4,82","0,92","238,28","-0,02","24,72","19,82","3.963,44","0,01","15,3624","880,90","0,02","17,82","0,000","0,000","8,067","31,98","27,0","27,0","54,953","0,00","54,953","642,62","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","98,86","0,00","0,00","81,56","375,68","0,00","7896007552948","257,996","16,42","4.236,57","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","20"
"6,41","36608","ABS PROT DIARIO INTIMUS 80UN L+ P- ULTRA FLEXIVEL : 501-MM SP","501","UN 1","1","276,000","0,000","276,000","5.288,16","0,01","19,16","4.240,03","0,01","15,3624","14,2800","3.942,32","4,82","0,92","254,91","-0,02","24,72","19,82","4.240,03","0,01","15,3624","942,37","0,02","17,82","0,000","0,000","1,200","230,00","140,0","140,0","58,788","0,00","58,788","687,46","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","105,76","0,00","0,00","87,25","401,90","0,00","7896007548118","276,000","13,86","3.824,01","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","38"
